study,binding,threads,runs,nx,ny,cells,nt,ppc,wall_time_s,speedup,efficiency
strong,close,1,1,100,250,25000,2500,3,88.94046100298874,1.0,1.0
strong,close,2,1,100,250,25000,2500,3,78.62674440408591,1.131173135516048,0.565586567758024
strong,close,4,1,100,250,25000,2500,3,72.07152281096205,1.2340583011721924,0.3085145752930481
strong,close,8,1,100,250,25000,2500,3,58.51760443509556,1.5198923787394014,0.18998654734242518
strong,close,16,1,100,250,25000,2500,3,34.40632003999781,2.5850035952579136,0.1615627247036196
strong,close,32,1,100,250,25000,2500,3,25.078477776027285,3.5464856279278494,0.1108276758727453
strong,close,64,1,100,250,25000,2500,3,32.777264347998425,2.713480297156647,0.04239812964307261
strong,spread,1,1,100,250,25000,2500,3,88.8513059199322,1.0,1.0
strong,spread,2,1,100,250,25000,2500,3,89.19500757893547,0.9961466267189999,0.49807331335949995
strong,spread,4,1,100,250,25000,2500,3,85.30324822210241,1.0415934653343069,0.2603983663335767
strong,spread,8,1,100,250,25000,2500,3,71.04835553001612,1.2505751224937893,0.15632189031172367
strong,spread,16,1,100,250,25000,2500,3,49.724793268949725,1.7868612432304416,0.1116788277019026
strong,spread,32,1,100,250,25000,2500,3,35.120413505937904,2.5299048914930875,0.07905952785915898
strong,spread,64,1,100,250,25000,2500,3,31.109304131940007,2.8561007196785324,0.04462657374497707
weak,close,1,1,100,250,25000,2500,3,88.60500750888605,1.0,1.0
weak,close,2,1,142,354,50268,2500,3,112.41969450400211,0.7881626782550253,0.7881626782550253
weak,close,4,1,200,500,100000,2500,3,171.1800014419714,0.5176130784116298,0.5176130784116298
weak,close,8,1,284,708,201072,2500,3,288.5918527779868,0.3070253254067076,0.3070253254067076
weak,close,16,1,400,1000,400000,2500,3,458.20579022495076,0.19337382765369782,0.19337382765369782
weak,close,32,1,566,1414,800324,2500,3,841.1646886059316,0.10533609970686213,0.10533609970686213
